img_name,label_name,score,left,top,right,bottom
neutral26.jpg,Person,97.93,315,18,788,1068
neutral26.jpg,Person,97.93,572,26,1057,1063
neutral26.jpg,Person,97.93,14,12,414,1067
neutral26.jpg,Tattoo,97.90,56,46,310,1045
neutral26.jpg,Tattoo,97.90,748,6,1039,995
neutral26.jpg,Tattoo,97.90,390,10,712,963
000000455958.jpg,Person,99.85,240,130,341,349
000000455958.jpg,Person,99.85,80,145,168,347
000000455958.jpg,Person,99.85,455,133,586,343
000000455958.jpg,Person,99.85,405,157,482,336
000000001730.jpg,Person,99.90,93,138,281,453
000000001730.jpg,Person,99.90,295,80,562,409
000000001730.jpg,Baseball Glove,97.98,317,90,364,138
000000001730.jpg,Baseball Glove,97.98,111,260,136,290
000000001730.jpg,Helmet,71.20,187,134,236,183
