img_name,label_name,score,left,top,right,bottom
neutral26.jpg,Person,0.87,5,0,299,1068
neutral26.jpg,Person,0.85,399,9,727,1051
neutral26.jpg,Person,0.85,751,4,1077,1070
neutral26.jpg,Shoe,0.59,996,875,1076,1052
neutral26.jpg,Shoe,0.53,991,892,1076,1043
000000455958.jpg,Umbrella,0.96,163,66,309,186
000000455958.jpg,Umbrella,0.95,391,41,555,178
000000455958.jpg,Umbrella,0.95,10,84,144,197
000000455958.jpg,Person,0.90,75,141,172,349
000000455958.jpg,Person,0.90,232,133,351,356
000000455958.jpg,Person,0.84,404,156,487,333
000000455958.jpg,Person,0.79,455,132,579,348
000000455958.jpg,Umbrella,0.68,332,259,444,341
000000001730.jpg,Pants,0.94,102,275,242,438
000000001730.jpg,Pants,0.94,373,226,527,381
000000001730.jpg,Person,0.92,299,80,558,412
000000001730.jpg,Person,0.92,89,133,281,452
000000001730.jpg,Shoe,0.75,496,379,588,411
000000001730.jpg,Baseball glove,0.69,312,88,367,142
