img_name,age,gender,left,top,right,bottom
faces.jpg,41,M,1284,588,1520,824
faces.jpg,26,F,881,591,1116,826
faces.jpg,32,F,1285,992,1519,1226
faces.jpg,32,M,76,588,309,821
faces.jpg,37,F,76,186,307,417
faces.jpg,29,M,1686,996,1917,1227
faces.jpg,29,M,481,186,711,416
faces.jpg,47,M,1688,187,1917,416
faces.jpg,34,F,886,993,1113,1220
faces.jpg,49,F,80,993,306,1219
faces.jpg,26,F,1290,188,1515,413
faces.jpg,27,F,484,995,708,1219
faces.jpg,31,M,483,592,703,812
faces.jpg,25,F,890,191,1109,410
faces.jpg,37,F,1695,593,1911,809
